brand_name,product_name,product_subcategory,product_category,product_department,product_family,store_sales,store_cost,unit_sales,the_date,city,state_province,country
Bravo,Bravo Chicken Noodle Soup,Soup,Canned Soup,Canned Foods,Food,10.96,3.3976,4,6/25/1998 0:00,Lynnwood,WA,USA
Red Spade,Red Spade Potato Salad,Deli Salads,Side Dishes,Deli,Food,2.04,0.7548,3,1/16/1998 0:00,Lynnwood,WA,USA
Gulf Coast,Gulf Coast Bubble Gum,Gum,Candy,Snacks,Food,13.72,5.8996,4,6/25/1998 0:00,Lynnwood,WA,USA
Tell Tale,Tell Tale Cantelope,Fresh Fruit,Fruit,Produce,Food,11.46,4.011,3,7/17/1998 0:00,San Andres,DF,Mexico
Big Time,Big Time Lime Popsicles,Popsicles,Frozen Desserts,Frozen Foods,Food,6.75,2.97,3,7/17/1998 0:00,San Andres,DF,Mexico
Genteel,Genteel Extra Lean Hamburger,Hamburger,Meat,Meat,Food,3.8,1.672,2,7/17/1998 0:00,San Andres,DF,Mexico
Booker,Booker Havarti Cheese,Cheese,Dairy,Dairy,Food,8.28,4.14,3,3/2/1998 0:00,San Andres,DF,Mexico
Black Tie,Black Tie City Map,Maps,Miscellaneous,Checkout,Non-Consumable,3.14,1.4444,2,7/17/1998 0:00,San Andres,DF,Mexico
Imagine,Imagine Frozen Chicken Breast,Frozen Chicken,Meat,Frozen Foods,Food,6.92,2.5604,2,3/2/1998 0:00,San Andres,DF,Mexico
Hermanos,Hermanos Lemons,Fresh Fruit,Fruit,Produce,Food,11.82,5.5554,3,6/3/1998 0:00,San Andres,DF,Mexico
Faux Products,Faux Products Apricot Shampoo,Shampoo,Bathroom Products,Health and Hygiene,Non-Consumable,8.94,3.6654,3,4/15/1998 0:00,San Andres,DF,Mexico
Cormorant,Cormorant Scented Tissue,Paper Wipes,Paper Products,Household,Non-Consumable,7.76,3.88,4,6/3/1998 0:00,San Andres,DF,Mexico
Booker,Booker Whole Milk,Milk,Dairy,Dairy,Drink,10.38,3.9444,3,6/3/1998 0:00,San Andres,DF,Mexico
Landslide,Landslide Corn Oil,Cooking Oil,Baking Goods,Baking Goods,Food,3.69,1.2177,3,7/17/1998 0:00,San Andres,DF,Mexico
PigTail,PigTail Blueberry Waffles,Waffles,Breakfast Foods,Frozen Foods,Food,6.39,3.0672,3,6/3/1998 0:00,San Andres,DF,Mexico
Sunset,Sunset Plastic Forks,Plastic Utensils,Plastic Products,Household,Non-Consumable,3.39,1.2882,3,3/2/1998 0:00,San Andres,DF,Mexico
Horatio,Horatio Dried Apricots,Dried Fruit,Snack Foods,Snack Foods,Food,3.04,1.0032,4,3/2/1998 0:00,San Andres,DF,Mexico
Carrington,Carrington Frozen Chicken Breast,Frozen Chicken,Meat,Frozen Foods,Food,1.86,0.7998,2,6/26/1998 0:00,San Andres,DF,Mexico
Horatio,Horatio Chocolate Donuts,Donuts,Snack Foods,Snack Foods,Food,3.08,1.0472,2,6/26/1998 0:00,San Andres,DF,Mexico
Tell Tale,Tell Tale Dried Mushrooms,Fresh Vegetables,Vegetables,Produce,Food,4.35,2.088,3,6/26/1998 0:00,San Andres,DF,Mexico
Fast,Fast Raspberry Fruit Roll,Dried Fruit,Snack Foods,Snack Foods,Food,2.72,1.0608,2,6/26/1998 0:00,San Andres,DF,Mexico
Red Wing,Red Wing Soft Napkins,Paper Wipes,Paper Products,Household,Non-Consumable,4.83,2.1735,3,6/3/1998 0:00,San Andres,DF,Mexico
Faux Products,Faux Products Apricot Shampoo,Shampoo,Bathroom Products,Health and Hygiene,Non-Consumable,8.94,2.8608,3,11/27/1998 0:00,San Andres,DF,Mexico
Plato,Plato Apple Butter,Preserves,Jams and Jellies,Baking Goods,Food,6.84,2.9412,3,9/10/1998 0:00,San Andres,DF,Mexico
Carrington,Carrington Low Fat Waffles,Waffles,Breakfast Foods,Frozen Foods,Food,10.96,5.0416,4,11/9/1998 0:00,San Andres,DF,Mexico
Tri-State,Tri-State Red Pepper,Fresh Vegetables,Vegetables,Produce,Food,11.61,4.8762,3,9/25/1998 0:00,San Andres,DF,Mexico
Booker,Booker Cheese Spread,Cheese,Dairy,Dairy,Food,2.82,1.1562,3,11/27/1998 0:00,San Andres,DF,Mexico
Booker,Booker String Cheese,Cheese,Dairy,Dairy,Food,3.32,1.0624,2,11/27/1998 0:00,San Andres,DF,Mexico
Bird Call,Bird Call HCL Nasal Spray,Nasal Sprays,Decongestants,Health and Hygiene,Non-Consumable,2.16,1.08,4,9/25/1998 0:00,San Andres,DF,Mexico
Hermanos,Hermanos Sweet Onion,Fresh Vegetables,Vegetables,Produce,Food,3.66,1.4274,2,9/10/1998 0:00,San Andres,DF,Mexico
Horatio,Horatio Mini Donuts,Donuts,Snack Foods,Snack Foods,Food,3.46,1.3148,2,11/9/1998 0:00,San Andres,DF,Mexico
Denny,Denny 60 Watt Lightbulb,Lightbulbs,Electrical,Household,Non-Consumable,7.68,2.7648,4,11/27/1998 0:00,San Andres,DF,Mexico
Ebony,Ebony Potatos,Fresh Vegetables,Vegetables,Produce,Food,2.82,1.1562,2,9/10/1998 0:00,San Andres,DF,Mexico
Tell Tale,Tell Tale Mushrooms,Fresh Vegetables,Vegetables,Produce,Food,8.88,2.7528,3,11/9/1998 0:00,San Andres,DF,Mexico
Club,Club Cheese Spread,Cheese,Dairy,Dairy,Food,6.51,2.8644,3,9/10/1998 0:00,San Andres,DF,Mexico
Horatio,Horatio Cheese Dip,Dips,Snack Foods,Snack Foods,Food,9.24,3.0492,4,9/10/1998 0:00,San Andres,DF,Mexico
Golden,Golden Beef TV Dinner,TV Dinner,Frozen Entrees,Frozen Foods,Food,5.49,2.6901,3,9/10/1998 0:00,San Andres,DF,Mexico
High Top,High Top Cantelope,Fresh Fruit,Fruit,Produce,Food,4.94,1.5314,2,9/10/1998 0:00,San Andres,DF,Mexico
Super,Super Vegetable Oil,Cooking Oil,Baking Goods,Baking Goods,Food,4.44,2.1312,2,9/10/1998 0:00,San Andres,DF,Mexico
Fast,Fast Apple Fruit Roll,Dried Fruit,Snack Foods,Snack Foods,Food,8.64,2.592,3,11/9/1998 0:00,San Andres,DF,Mexico
Mighty Good,Mighty Good Monthly Auto Magazine,Auto Magazines,Magazines,Periodicals,Non-Consumable,5.55,2.7195,3,10/2/1998 0:00,San Andres,DF,Mexico
Carrington,Carrington Pancake Mix,Pancake Mix,Breakfast Foods,Frozen Foods,Food,7.41,3.1863,3,10/2/1998 0:00,San Andres,DF,Mexico
PigTail,PigTail Apple Cinnamon Waffles,Waffles,Breakfast Foods,Frozen Foods,Food,2.2,0.682,4,10/2/1998 0:00,San Andres,DF,Mexico
Big Time,Big Time Frozen Chicken Wings,Frozen Chicken,Meat,Frozen Foods,Food,11.01,4.404,3,10/2/1998 0:00,San Andres,DF,Mexico
Cutting Edge,Cutting Edge Roasted Chicken,Fresh Chicken,Meat,Deli,Food,7.96,2.8656,4,10/2/1998 0:00,San Andres,DF,Mexico
Just Right,Just Right Chicken Noodle Soup,Soup,Canned Soup,Canned Foods,Food,9.6,3.552,4,10/9/1998 0:00,Richmond,BC,Canada
Carrington,Carrington Chicken TV Dinner,TV Dinner,Frozen Entrees,Frozen Foods,Food,7.05,2.256,3,10/9/1998 0:00,Richmond,BC,Canada
Fabulous,Fabulous Diet Soda,Soda,Carbonated Beverages,Beverages,Drink,4.94,1.9266,2,10/9/1998 0:00,Richmond,BC,Canada
Excellent,Excellent Strawberry Drink,Flavored Drinks,Drinks,Beverages,Drink,5.55,2.6085,3,10/9/1998 0:00,Richmond,BC,Canada
Washington,Washington Cream Soda,Soda,Carbonated Beverages,Beverages,Drink,14.56,5.9696,4,10/9/1998 0:00,Richmond,BC,Canada
Tri-State,Tri-State Cantelope,Fresh Fruit,Fruit,Produce,Food,7.71,2.7756,3,10/9/1998 0:00,Richmond,BC,Canada
Super,Super Tomato Sauce,Sauces,Baking Goods,Baking Goods,Food,4.8,1.632,3,4/27/1998 0:00,Richmond,BC,Canada
Landslide,Landslide Corn Oil,Cooking Oil,Baking Goods,Baking Goods,Food,3.69,1.7343,3,4/27/1998 0:00,Richmond,BC,Canada
Golden,Golden Frozen Sausage Pizza,Pizza,Pizza,Frozen Foods,Food,5.34,2.4564,3,4/27/1998 0:00,Richmond,BC,Canada
Blue Medal,Blue Medal Small Brown Eggs,Eggs,Eggs,Eggs,Food,8.4,2.688,3,4/27/1998 0:00,Richmond,BC,Canada
Shady Lake,Shady Lake Manicotti,Pasta,Starchy Foods,Starchy Foods,Food,6.78,2.5764,2,4/27/1998 0:00,Richmond,BC,Canada
Denny,Denny Screw Driver,Tools,Hardware,Household,Non-Consumable,4.76,1.7136,2,4/27/1998 0:00,Richmond,BC,Canada
Symphony,Symphony Rosy Sunglasses,Sunglasses,Specialty,Carousel,Non-Consumable,6.4,2.304,4,4/27/1998 0:00,Richmond,BC,Canada
Choice,Choice Mints,Hard Candy,Candy,Snacks,Food,3.8,1.672,2,2/26/1998 0:00,Lake Oswego,OR,USA
Token,Token Diet Cola,Soda,Carbonated Beverages,Beverages,Drink,2.2,0.726,4,2/26/1998 0:00,Lake Oswego,OR,USA
CDR,CDR Columbian Coffee,Coffee,Hot Beverages,Beverages,Drink,9.16,3.4808,4,2/26/1998 0:00,Lake Oswego,OR,USA
Genteel,Genteel Extra Lean Hamburger,Hamburger,Meat,Meat,Food,9.5,3.325,5,2/26/1998 0:00,Lake Oswego,OR,USA
Hermanos,Hermanos Peaches,Fresh Fruit,Fruit,Produce,Food,4.86,1.6524,3,1/17/1998 0:00,Lake Oswego,OR,USA
Better,Better Canned Tuna in Oil,Tuna,Canned Tuna,Canned Foods,Food,7.5,3.375,5,1/17/1998 0:00,Lake Oswego,OR,USA
Bird Call,Bird Call Tartar Control Toothpaste,Personal Hygiene,Hygiene,Health and Hygiene,Non-Consumable,4.2,1.302,3,6/13/1998 0:00,Lake Oswego,OR,USA
Steady,Steady 200 MG Ibuprofen,Ibuprofen,Pain Relievers,Health and Hygiene,Non-Consumable,8.49,3.4809,3,4/12/1998 0:00,Lake Oswego,OR,USA
Horatio,Horatio Buttered Popcorn,Popcorn,Snack Foods,Snack Foods,Food,4.7,1.457,2,4/12/1998 0:00,Lake Oswego,OR,USA
Ebony,Ebony Macintosh Apples,Fresh Fruit,Fruit,Produce,Food,5.4,1.89,4,4/12/1998 0:00,Lake Oswego,OR,USA
BBB Best,BBB Best Creamy Peanut Butter,Peanut Butter,Jams and Jellies,Baking Goods,Food,3.3,1.518,3,4/12/1998 0:00,Lake Oswego,OR,USA
Cormorant,Cormorant 100 Watt Lightbulb,Lightbulbs,Electrical,Household,Non-Consumable,9.45,4.2525,5,6/13/1998 0:00,Lake Oswego,OR,USA
Cormorant,Cormorant Plastic Knives,Plastic Utensils,Plastic Products,Household,Non-Consumable,2.94,1.2642,2,4/12/1998 0:00,Lake Oswego,OR,USA
Fast,Fast Corn Chips,Chips,Snack Foods,Snack Foods,Food,15.04,7.2192,4,6/13/1998 0:00,Lake Oswego,OR,USA
Token,Token Orange Juice,Juice,Pure Juice Beverages,Beverages,Drink,11.2,5.152,4,6/13/1998 0:00,Lake Oswego,OR,USA
Consolidated,Consolidated Laundry Detergent,Mouthwash,Bathroom Products,Health and Hygiene,Non-Consumable,2.55,1.0965,3,6/13/1998 0:00,Lake Oswego,OR,USA
Modell,Modell Muffins,Muffins,Bread,Baked Goods,Food,4.88,2.196,2,6/13/1998 0:00,Lake Oswego,OR,USA
Tri-State,Tri-State Mixed Nuts,Nuts,Specialty,Produce,Food,5.28,2.4816,3,7/20/1998 0:00,La Mesa,CA,USA
Fast,Fast BBQ Potato Chips,Chips,Snack Foods,Snack Foods,Food,8.76,2.7156,4,7/20/1998 0:00,La Mesa,CA,USA
Nationeel,Nationeel Apple Fruit Roll,Dried Fruit,Snack Foods,Snack Foods,Food,10.38,4.8786,3,7/20/1998 0:00,La Mesa,CA,USA
Plato,Plato Canola Oil,Cooking Oil,Baking Goods,Baking Goods,Food,4.52,1.4464,4,7/20/1998 0:00,La Mesa,CA,USA
Good,Good Light Wine,Wine,Beer and Wine,Alcoholic Beverages,Drink,3.32,1.2284,4,7/20/1998 0:00,La Mesa,CA,USA
BBB Best,BBB Best Grape Preserves,Preserves,Jams and Jellies,Baking Goods,Food,7.77,3.0303,3,7/20/1998 0:00,La Mesa,CA,USA
Gorilla,Gorilla Strawberry Yogurt,Yogurt,Dairy,Dairy,Food,4.32,2.1168,2,7/20/1998 0:00,La Mesa,CA,USA
Tell Tale,Tell Tale Lettuce,Fresh Vegetables,Vegetables,Produce,Food,5.31,2.1771,3,3/21/1998 0:00,Lincoln Acres,CA,USA
James Bay,James Bay City Map,Maps,Miscellaneous,Checkout,Non-Consumable,6.88,3.1648,4,3/21/1998 0:00,Lincoln Acres,CA,USA
Carrington,Carrington Frozen Mushroom Pizza,Pizza,Pizza,Frozen Foods,Food,7.46,2.8348,2,4/19/1998 0:00,Lincoln Acres,CA,USA
Dual City,Dual City Lox,Fresh Fish,Seafood,Seafood,Food,1.04,0.3744,2,6/20/1998 0:00,Lincoln Acres,CA,USA
Sunset,Sunset Paper Towels,Paper Wipes,Paper Products,Household,Non-Consumable,4.29,1.8018,3,6/20/1998 0:00,Lincoln Acres,CA,USA
High Quality,High Quality Counter Cleaner,Cleaners,Cleaning Supplies,Household,Non-Consumable,8.73,2.9682,3,6/20/1998 0:00,Lincoln Acres,CA,USA
Red Wing,Red Wing Economy Toilet Brush,Toilet Brushes,Bathroom Products,Household,Non-Consumable,2.49,0.8217,3,6/20/1998 0:00,Lincoln Acres,CA,USA
Monarch,Monarch Rice Medly,Rice,Starchy Foods,Starchy Foods,Food,3.6,1.152,2,4/19/1998 0:00,Lincoln Acres,CA,USA
Ebony,Ebony Fancy Plums,Fresh Fruit,Fruit,Produce,Food,7.44,2.5296,4,1/17/1998 0:00,Altadena,CA,USA
Fort West,Fort West Strawberry Fruit Roll,Dried Fruit,Snack Foods,Snack Foods,Food,5.04,1.9656,3,1/17/1998 0:00,Altadena,CA,USA
Tri-State,Tri-State Firm Tofu,Tofu,Packaged Vegetables,Produce,Food,6.64,2.1912,4,1/17/1998 0:00,Altadena,CA,USA
Big Time,Big Time Frozen Carrots,Frozen Vegetables,Vegetables,Frozen Foods,Food,4.92,2.0172,3,1/17/1998 0:00,Altadena,CA,USA
Gorilla,Gorilla Whole Milk,Milk,Dairy,Dairy,Drink,2.44,0.854,4,1/17/1998 0:00,Altadena,CA,USA
American,American Sliced Chicken,Deli Meats,Meat,Deli,Food,1.77,0.6903,3,1/30/1998 0:00,Spring Valley,CA,USA
Super,Super Extra Chunky Peanut Butter,Peanut Butter,Jams and Jellies,Baking Goods,Food,10.86,5.3214,3,10/18/1998 0:00,Spring Valley,CA,USA
Fort West,Fort West Dried Dates,Dried Fruit,Snack Foods,Snack Foods,Food,13.16,6.4484,4,11/2/1998 0:00,Spring Valley,CA,USA
Big Time,Big Time Ice Cream Sandwich,Ice Cream,Frozen Desserts,Frozen Foods,Food,8.73,2.619,3,11/2/1998 0:00,Spring Valley,CA,USA
Bird Call,Bird Call Tartar Control Toothpaste,Personal Hygiene,Hygiene,Health and Hygiene,Non-Consumable,4.2,1.554,3,11/2/1998 0:00,Spring Valley,CA,USA
Fabulous,Fabulous Strawberry Drink,Flavored Drinks,Drinks,Beverages,Drink,7.9,3.16,2,10/18/1998 0:00,Spring Valley,CA,USA
Atomic,Atomic Mint Chocolate Bar,Chocolate Candy,Candy,Snacks,Food,2.7,0.837,3,10/18/1998 0:00,Spring Valley,CA,USA
Musial,Musial Spicy Mints,Hard Candy,Candy,Snacks,Food,11.68,5.4896,4,8/25/1998 0:00,Spring Valley,CA,USA
Tell Tale,Tell Tale Beets,Fresh Vegetables,Vegetables,Produce,Food,7.8,3.51,3,8/25/1998 0:00,Spring Valley,CA,USA
Best Choice,Best Choice Potato Chips,Chips,Snack Foods,Snack Foods,Food,15.56,4.668,4,10/18/1998 0:00,Spring Valley,CA,USA
Big Time,Big Time Frozen Chicken Thighs,Frozen Chicken,Meat,Frozen Foods,Food,11.8,4.838,4,8/25/1998 0:00,Spring Valley,CA,USA
Ebony,Ebony Squash,Fresh Vegetables,Vegetables,Produce,Food,5.19,1.6608,3,10/18/1998 0:00,Spring Valley,CA,USA
Gerolli,Gerolli Extra Lean Hamburger,Hamburger,Meat,Meat,Food,10.14,4.056,3,11/1/1998 0:00,Spring Valley,CA,USA
Denny,Denny Scissors,Tools,Hardware,Household,Non-Consumable,3.04,0.9424,2,8/25/1998 0:00,Spring Valley,CA,USA
Lake,Lake Sliced Ham,Deli Meats,Meat,Deli,Food,8.82,2.9106,3,11/1/1998 0:00,Spring Valley,CA,USA
Red Wing,Red Wing 100 Watt Lightbulb,Lightbulbs,Electrical,Household,Non-Consumable,4.62,2.1252,3,11/1/1998 0:00,Spring Valley,CA,USA
Genteel,Genteel Seasoned Hamburger,Hamburger,Meat,Meat,Food,4.6,1.426,4,11/1/1998 0:00,Spring Valley,CA,USA
High Top,High Top Squash,Fresh Vegetables,Vegetables,Produce,Food,4.56,1.5504,3,10/18/1998 0:00,Spring Valley,CA,USA
PigTail,PigTail Lime Popsicles,Popsicles,Frozen Desserts,Frozen Foods,Food,5.28,1.6368,4,8/25/1998 0:00,Spring Valley,CA,USA
Carlson,Carlson Sharp Cheddar Cheese,Cheese,Dairy,Dairy,Food,4.4,2.024,2,8/25/1998 0:00,Spring Valley,CA,USA
Plato,Plato Apple Jelly,Jelly,Jams and Jellies,Baking Goods,Food,8.94,4.2018,3,11/2/1998 0:00,Spring Valley,CA,USA
High Top,High Top Elephant Garlic,Fresh Vegetables,Vegetables,Produce,Food,5.52,2.484,3,11/2/1998 0:00,Spring Valley,CA,USA
Even Better,Even Better Sharp Cheddar Cheese,Cheese,Dairy,Dairy,Food,9.75,4.485,3,11/2/1998 0:00,Spring Valley,CA,USA
Great,Great Blueberry Muffins,Muffins,Bread,Baked Goods,Food,7.89,3.3927,3,11/1/1998 0:00,Spring Valley,CA,USA
Sunset,Sunset D-Size Batteries,Batteries,Electrical,Household,Non-Consumable,7.95,3.4185,3,8/25/1998 0:00,Spring Valley,CA,USA
High Top,High Top Mandarin Oranges,Fresh Fruit,Fruit,Produce,Food,6.4,2.752,4,8/25/1998 0:00,Spring Valley,CA,USA
Imagine,Imagine Apple Cinnamon Waffles,Waffles,Breakfast Foods,Frozen Foods,Food,5.43,2.172,3,5/6/1998 0:00,Renton,WA,USA
Bird Call,Bird Call Whitening Toothpast,Personal Hygiene,Hygiene,Health and Hygiene,Non-Consumable,7.4,3.256,4,5/6/1998 0:00,Renton,WA,USA
Nationeel,Nationeel Dried Dates,Dried Fruit,Snack Foods,Snack Foods,Food,5.91,2.5413,3,5/6/1998 0:00,Renton,WA,USA
Gauss,Gauss Monthly Fashion Magazine,Fashion Magazines,Magazines,Periodicals,Non-Consumable,2.49,1.2201,3,5/6/1998 0:00,Renton,WA,USA
Tri-State,Tri-State Summer Squash,Fresh Vegetables,Vegetables,Produce,Food,1.65,0.5445,3,5/6/1998 0:00,Renton,WA,USA
King,King Rosy Sunglasses,Sunglasses,Specialty,Carousel,Non-Consumable,1.98,0.6534,2,5/6/1998 0:00,Renton,WA,USA
BBB Best,BBB Best Decaf Coffee,Coffee,Hot Beverages,Beverages,Drink,5.14,1.799,2,5/6/1998 0:00,Renton,WA,USA
Plato,Plato Apple Preserves,Preserves,Jams and Jellies,Baking Goods,Food,6.66,2.997,2,6/8/1998 0:00,Renton,WA,USA
Red Wing,Red Wing 25 Watt Lightbulb,Lightbulbs,Electrical,Household,Non-Consumable,10.68,5.2332,4,6/19/1998 0:00,Renton,WA,USA
Better,Better Canned Tomatos,Canned Vegetables,Vegetables,Canned Foods,Food,2.64,0.8976,2,6/8/1998 0:00,Renton,WA,USA
Moms,Moms Low Fat Bologna,Bologna,Meat,Deli,Food,8.4,4.116,4,6/8/1998 0:00,Renton,WA,USA
Applause,Applause Canned Mixed Fruit,Canned Fruit,Fruit,Canned Products,Food,11.2,5.152,4,6/8/1998 0:00,Renton,WA,USA
Just Right,Just Right Creamed Corn,Canned Vegetables,Vegetables,Canned Foods,Food,15.32,7.5068,4,6/8/1998 0:00,Renton,WA,USA
BBB Best,BBB Best Low Fat Apple Butter,Preserves,Jams and Jellies,Baking Goods,Food,2.24,0.7168,4,6/19/1998 0:00,Renton,WA,USA
Toucan,Toucan Canned Peaches,Canned Fruit,Fruit,Canned Products,Food,5.52,2.0976,4,6/19/1998 0:00,Renton,WA,USA
Fort West,Fort West Beef Jerky,Dried Meat,Snack Foods,Snack Foods,Food,1.9,0.779,2,6/19/1998 0:00,Renton,WA,USA
Tri-State,Tri-State Firm Tofu,Tofu,Packaged Vegetables,Produce,Food,3.32,1.0956,2,6/19/1998 0:00,Renton,WA,USA
Hermanos,Hermanos Red Pepper,Fresh Vegetables,Vegetables,Produce,Food,3.6,1.188,2,5/6/1998 0:00,Renton,WA,USA
Carlson,Carlson Whole Milk,Milk,Dairy,Dairy,Drink,1.32,0.396,2,7/21/1998 0:00,Renton,WA,USA
Club,Club Mild Cheddar Cheese,Cheese,Dairy,Dairy,Food,8.79,3.7797,3,11/18/1998 0:00,Renton,WA,USA
Red Spade,Red Spade Roasted Chicken,Fresh Chicken,Meat,Deli,Food,5.52,2.6496,2,11/18/1998 0:00,Renton,WA,USA
Carrington,Carrington Frozen Mushroom Pizza,Pizza,Pizza,Frozen Foods,Food,11.19,4.9236,3,11/18/1998 0:00,Renton,WA,USA
Pleasant,Pleasant Large Canned Shrimp,Shrimp,Canned Shrimp,Canned Foods,Food,8.31,3.2409,3,5/8/1998 0:00,La Jolla,CA,USA
Big Time,Big Time Apple Cinnamon Waffles,Waffles,Breakfast Foods,Frozen Foods,Food,11.07,5.4243,3,5/8/1998 0:00,La Jolla,CA,USA
Hilltop,Hilltop Apricot Shampoo,Shampoo,Bathroom Products,Health and Hygiene,Non-Consumable,7.14,2.2134,3,5/8/1998 0:00,La Jolla,CA,USA
Ebony,Ebony Lemons,Fresh Fruit,Fruit,Produce,Food,7.64,2.5976,4,5/8/1998 0:00,La Jolla,CA,USA
American,American Low Fat Bologna,Bologna,Meat,Deli,Food,5.74,2.1812,2,5/8/1998 0:00,La Jolla,CA,USA
Fort West,Fort West Potato Chips,Chips,Snack Foods,Snack Foods,Food,8.6,3.784,4,5/8/1998 0:00,La Jolla,CA,USA
Cormorant,Cormorant Copper Cleaner,Pot Cleaners,Kitchen Products,Household,Non-Consumable,10.88,4.1344,4,5/21/1998 0:00,Santa Fe,DF,Mexico
Fast,Fast Apple Fruit Roll,Dried Fruit,Snack Foods,Snack Foods,Food,8.64,3.1968,3,5/21/1998 0:00,Santa Fe,DF,Mexico
Blue Medal,Blue Medal Small Eggs,Eggs,Eggs,Eggs,Food,3.96,1.4256,3,5/21/1998 0:00,Santa Fe,DF,Mexico
High Quality,High Quality Copper Cleaner,Pot Cleaners,Kitchen Products,Household,Non-Consumable,11.31,5.4288,3,5/21/1998 0:00,Santa Fe,DF,Mexico
Horatio,Horatio Graham Crackers,Cookies,Snack Foods,Snack Foods,Food,8.46,2.961,3,5/21/1998 0:00,Santa Fe,DF,Mexico
Excellent,Excellent Apple Drink,Flavored Drinks,Drinks,Beverages,Drink,11.92,3.6952,4,5/21/1998 0:00,Santa Fe,DF,Mexico
Hermanos,Hermanos Canned Peanuts,Nuts,Specialty,Produce,Food,10.12,4.048,4,7/12/1998 0:00,Santa Fe,DF,Mexico
Horatio,Horatio Salted Pretzels,Pretzels,Snack Foods,Snack Foods,Food,8.31,3.7395,3,7/12/1998 0:00,Santa Fe,DF,Mexico
Musial,Musial Bubble Gum,Gum,Candy,Snacks,Food,4.98,1.5936,3,7/12/1998 0:00,Santa Fe,DF,Mexico
Urban,Urban Egg Substitute,Eggs,Eggs,Eggs,Food,2.6,1.196,2,7/12/1998 0:00,Santa Fe,DF,Mexico
PigTail,PigTail Chicken TV Dinner,TV Dinner,Frozen Entrees,Frozen Foods,Food,3.33,1.2321,3,7/12/1998 0:00,Santa Fe,DF,Mexico
Plato,Plato Salt,Spices,Baking Goods,Baking Goods,Food,4.41,1.8081,3,7/12/1998 0:00,Santa Fe,DF,Mexico
Fort West,Fort West Cheese Dip,Dips,Snack Foods,Snack Foods,Food,2.64,1.188,4,7/12/1998 0:00,Santa Fe,DF,Mexico
High Top,High Top Oranges,Fresh Fruit,Fruit,Produce,Food,4.98,1.743,3,8/20/1998 0:00,Santa Fe,DF,Mexico
Walrus,Walrus Merlot Wine,Wine,Beer and Wine,Alcoholic Beverages,Drink,5.68,2.4424,2,10/28/1998 0:00,Santa Fe,DF,Mexico
Sunset,Sunset Paper Towels,Paper Wipes,Paper Products,Household,Non-Consumable,2.86,1.3728,2,10/28/1998 0:00,Santa Fe,DF,Mexico
High Top,High Top Mixed Nuts,Nuts,Specialty,Produce,Food,5.42,1.8428,2,10/28/1998 0:00,Santa Fe,DF,Mexico
Blue Medal,Blue Medal Large Brown Eggs,Eggs,Eggs,Eggs,Food,6.57,2.2338,3,10/28/1998 0:00,Santa Fe,DF,Mexico
Medalist,Medalist Manicotti,Pasta,Starchy Foods,Starchy Foods,Food,4.02,1.6884,3,8/20/1998 0:00,Santa Fe,DF,Mexico
